regio1,regio2,regio3,baseRent,totalRent,livingSpace,noRooms,floor,numberOfFloors,yearConstructed,condition,interiorQual,lift,balcony,hasKitchen,cellar,garden,typeOfFlat,serviceCharge,heatingType,newlyConst,picturecount,pricetrend,date,rent_per_sqm,neighborhood,district_part,bezirk,date_clean,district_name,avg_monthly_income_eur,median_monthly_income_eur,unemployment_rate_pct,population,transfer_income_share_pct,rent_burden_pct
Berlin,Berlin,Kreuzberg_Kreuzberg,413.87,607.37,45.57,1.0,3.0,,1978.0,first_time_use_after_refurbishment,,True,True,False,True,False,apartment,193.5,district_heating,False,6,10.59,May19,9.082071538292736,Kreuzberg,Kreuzberg,Friedrichshain-Kreuzberg,2019-05,Friedrichshain-Kreuzberg,1900,1750,9.2,289000,16.8,21.782631578947367
Berlin,Berlin,Mariendorf_Tempelhof,573.75,738.04,56.36,2.0,0.0,,1963.0,modernized,,False,True,False,True,False,ground_floor,164.29,gas_heating,False,7,8.55,May19,10.180092264017034,Mariendorf,Tempelhof,Tempelhof-Schöneberg,2019-05,Tempelhof-Schöneberg,2100,1950,8.3,351000,13.5,27.32142857142857
Berlin,Berlin,Pankow_Pankow,1516.62,,108.33,3.0,1.0,5.0,2009.0,well_kept,,True,True,True,False,False,apartment,196.75,central_heating,False,4,6.36,Feb20,14.0,Pankow,Pankow,Pankow,2020-02,Pankow,2200,2050,6.5,413000,9.5,68.93727272727273
Berlin,Berlin,Charlottenburg_Charlottenburg,1610.0,1820.0,70.0,3.0,5.0,5.0,1927.0,first_time_use_after_refurbishment,sophisticated,True,True,True,True,False,apartment,210.0,district_heating,False,14,8.57,May19,23.0,Charlottenburg,Charlottenburg,Charlottenburg-Wilmersdorf,2019-05,Charlottenburg-Wilmersdorf,2400,2200,7.8,342000,11.2,67.08333333333333
Berlin,Berlin,Lichtenrade_Tempelhof,530.0,780.0,66.0,2.0,3.0,,1977.0,well_kept,normal,True,True,False,False,False,,170.0,central_heating,False,10,5.71,Oct19,8.030303030303031,Lichtenrade,Tempelhof,Tempelhof-Schöneberg,2019-10,Tempelhof-Schöneberg,2100,1950,8.3,351000,13.5,25.238095238095237
Berlin,Berlin,Kreuzberg_Kreuzberg,1424.0,1674.0,61.93,2.0,3.0,5.0,2020.0,first_time_use,sophisticated,True,True,True,True,False,apartment,250.0,central_heating,True,4,7.88,Feb20,22.99370256741482,Kreuzberg,Kreuzberg,Friedrichshain-Kreuzberg,2020-02,Friedrichshain-Kreuzberg,1900,1750,9.2,289000,16.8,74.94736842105263
Berlin,Berlin,Lichtenrade_Tempelhof,742.32,936.23,75.91,2.0,1.0,4.0,1974.0,,,False,True,True,False,False,apartment,157.37,,False,15,5.06,Feb20,9.77894875510473,Lichtenrade,Tempelhof,Tempelhof-Schöneberg,2020-02,Tempelhof-Schöneberg,2100,1950,8.3,351000,13.5,35.34857142857143
Berlin,Berlin,Plänterwald_Treptow,1409.6,1709.6,150.0,4.5,3.0,3.0,1910.0,,,False,True,False,True,False,apartment,300.0,central_heating,False,16,8.03,May19,9.397333333333332,Plänterwald,Treptow,Treptow-Köpenick,2019-05,Treptow-Köpenick,2050,1900,7.0,274000,10.5,68.76097560975609
Berlin,Berlin,Wilmersdorf_Wilmersdorf,750.0,850.0,43.0,1.5,3.0,6.0,,fully_renovated,sophisticated,True,False,True,True,False,apartment,100.0,district_heating,False,5,8.57,Sep18,17.441860465116278,Wilmersdorf,Wilmersdorf,Charlottenburg-Wilmersdorf,2018-09,Charlottenburg-Wilmersdorf,2400,2200,7.8,342000,11.2,31.25
Berlin,Berlin,Friedrichshain_Friedrichshain,1140.71,1270.0,55.08,2.0,5.0,7.0,2014.0,,,True,True,True,True,False,apartment,70.0,district_heating,False,10,7.53,Feb20,20.710058097313,Friedrichshain,Friedrichshain,Friedrichshain-Kreuzberg,2020-02,Friedrichshain-Kreuzberg,1900,1750,9.2,289000,16.8,60.037368421052626
Berlin,Berlin,Charlottenburg_Charlottenburg,1880.0,2190.0,106.0,3.0,0.0,0.0,,,,False,True,True,False,False,raised_ground_floor,310.0,floor_heating,False,6,6.13,Feb20,17.735849056603772,Charlottenburg,Charlottenburg,Charlottenburg-Wilmersdorf,2020-02,Charlottenburg-Wilmersdorf,2400,2200,7.8,342000,11.2,78.33333333333333
Berlin,Berlin,Mitte_Mitte,2100.0,2550.0,129.53,2.0,0.0,6.0,1900.0,mint_condition,luxury,True,True,True,False,True,loft,450.0,floor_heating,False,14,6.57,Oct19,16.212460433876323,Mitte,Mitte,Mitte,2019-10,Mitte,1850,1650,12.8,384000,22.5,113.51351351351352
Berlin,Berlin,Köpenick_Köpenick,987.83,1237.83,80.97,3.0,2.0,5.0,2015.0,mint_condition,sophisticated,True,True,False,True,True,apartment,250.0,district_heating,False,5,5.33,Feb20,12.19995059898728,Köpenick,Köpenick,Treptow-Köpenick,2020-02,Treptow-Köpenick,2050,1900,7.0,274000,10.5,48.18682926829268
